indices,x,y,z,localized_index,localized_x,localized_y,localized_z,localized_chi_sq,dz,dx,dy,dS
2.0,110.9,88.7,3.1,2.0,110.2,90.06,3.18,0.0114658331981621,0.08,0.7,1.36,1.5295751044
4.0,80.1,99.9,3.3,4.0,79.02,98.94,3.23,0.2081367980030428,0.07,1.08,0.96,1.444991349455
3.0,72.4,57.2,2.9,5.0,77.33,70.24,1.95,0.0002972251924415,0.95,4.93,13.04,13.940821353134
3.0,71.3,56.9,3.44,3.0,71.24,56.68,3.48,0.0028130329742422,0.04,0.06,0.22,0.22803508502
1.0,70.0,75.0,3.12,1.0,69.23,75.08,4.06,0.0023748531951194,0.94,0.77,0.08,0.774144689318
0.0,81.6,72.0,2.6,0.0,81.78670092531092,75.1860832650037,2.5334258753385184,0.0008589622777006,0.066574124661,0.186700925311,3.186083265004,3.191548810068
2.0,110.0,88.6,3.54,2.0,109.93117244673206,89.99630716069566,3.658244499431329,0.0042481059432264,0.118244499431,0.068827553268,1.396307160696,1.39800247464
5.0,77.6,67.5,3.34,5.0,77.34687146842289,67.71537492160256,3.241834739461493,0.0024293403794122,0.098165260539,0.253128531577,0.215374921603,0.332355848984
4.0,77.88,98.53,3.54,4.0,78.10737326649195,98.81308485120752,3.0376524606859183,0.0012733647544884,0.502347539314,0.227373266492,0.283084851208,0.363091772557
1.0,67.5,81.0,3.0,1.0,67.55101820235605,80.75335696729972,3.842699239370141,5.089306829752688e-05,0.84269923937,0.051018202356,0.2466430327,0.251864333623
3.0,56.0,71.3,3.6,3.0,72.60289995798226,57.793987176499805,3.853251480464256,0.0166510387009556,0.253251480464,16.602899957982,13.5060128235,21.402538854148
2.0,106.5,84.6,3.14,2.0,105.98,85.15,3.73,0.0002715678084801,0.59,0.52,0.55,0.756901578807
5.0,75.4,69.2,3.4,5.0,76.0309575796474,69.18002132293336,3.628749172558999,0.0011539537313328,0.228749172559,0.630957579647,0.019978677067,0.631273803394
0.0,82.4,75.6,2.9,0.0,82.3395011144317,75.48293762087361,2.586777873511611,0.0050651095849647,0.313222126488,0.060498885568,0.117062379126,0.131771452757
1.0,68.2,80.8,3.42,1.0,71.83175611322255,72.69430258554674,3.879171085254959,0.002724441604322,0.459171085255,3.631756113223,8.105697414453,8.882115910109
